index,text,label,score
760,i know i don t have so many money at last i feel reluctant you leave shoes and make a big decision i need a job and i must have to take shoes home when i make enough money,LABEL_4,0.9999998807907104
1073,i hate waiting on others i still feel hesitant about making any binding weekend plans for the next several weeks just in case i get the call to go home,LABEL_4,0.9999998807907104
1412,i always feel hesitant about going into a restaurant where no one else is eating i usually just find the closest restaurant with at least one occupied table,LABEL_4,0.9999998807907104
1837,i feel hesitant to call them beautiful stark und sometimes graphic images,LABEL_4,0.9999998807907104
5315,i feel reluctant to call people i havent talked with in several years since its obvious that im only calling to see about help finding a job no matter how i couch it,LABEL_4,0.9999998807907104
5576,i want i feel hesitant to say because my favorite thing is to illustrate but i have been told that things like layout out brochures and annual reports are where the money is,LABEL_4,0.9999998807907104
9516,im friendless there cos they can feel that im hesitant to be part of their family can you send me home tomorrow,LABEL_4,0.9999998807907104
9874,i feel hesitant about recommending this series to dystopian fans after being so disappointed by this seriess conclusion,LABEL_4,0.9999998807907104
9986,i feel hesitant to speak so soon and feel like i need to knock on wood,LABEL_4,0.9999998807907104
10478,i feel reluctant to go out leafleting i only need think how thankful i was for the free classes i went to myself fifteen years ago,LABEL_4,0.9999998807907104
10610,i feel hesitant to just pick a random promise or covenant out of the bible and stake a personal claim on it you know,LABEL_4,0.9999998807907104
10720,i feel its time no more reluctant feelings about it like yesterday,LABEL_4,0.9999998807907104
11331,i feel hesitant in offering personal insights and observations worrying theyll only come off as inspid and narcissistic but some encouragement comes in the amount of interest such posts generate,LABEL_4,0.9999998807907104
12835,i didn t even feel hesitant having one student go into the teacher s lounge to retrieve the sodas from the fridge,LABEL_4,0.9999998807907104
14599,i also feel most reluctant to engage on any alternative style commissions which might require high levels of attention and energy sleuthing along pavements and camouflaged behind trees,LABEL_4,0.9999998807907104
15031,i feel reluctant to be hospitable towards other people,LABEL_4,0.9999998807907104
16370,i feel i must try and do something but i am reluctant without a gt firm reassurance of what will be published and when,LABEL_4,0.9999998807907104
17366,i know that social networks and media nowadays are so prone to judgment by people and you may feel hesitant to do so due to that,LABEL_4,0.9999998807907104
19760,i think most people actually think this but they feel reluctant to make a firm commitment to the belief because it sounds strange and spiritual or something,LABEL_4,0.9999998807907104
22799,i admit i feel hesitant and i hush my own excitement for fear of being just one more person that feels the spark only to let it burn out,LABEL_4,0.9999998807907104
23012,i think this is why im feeling reluctant to turn my full attention to beginning of the fall semester,LABEL_4,0.9999998807907104
23360,i always feel reluctant to say that i m a person that needs structure,LABEL_4,0.9999998807907104
23795,i am feeling really demotivated and reluctant to do my work but i guess it usually takes me about weeks to get into gear,LABEL_4,0.9999998807907104
25230,i am feeling reluctant to have the procedure repeated on the left side,LABEL_4,0.9999998807907104
26196,i feel ive been hesitant to question the process for fear that i will not be heard but it is time for a change,LABEL_4,0.9999998807907104
29779,i truly feel towards people i am reluctant to put here cos i am afraid what people that read my blog might judge me,LABEL_4,0.9999998807907104
30855,i also feel hesitant to give them money because again i don t want to help an alcoholic stay one,LABEL_4,0.9999998807907104
30941,i feel reluctant to try out the night life in havana and this is depressing as it was one of the major attractions of going here,LABEL_4,0.9999998807907104
31813,i feel reluctant to watch this episode,LABEL_4,0.9999998807907104
