index,text,label,score
30742,i feel amazed introduced to a new world mesmerized and taken elsewhere,LABEL_5,0.9999991655349731
2230,ive been feeling amazed at what my body can do lately,LABEL_5,0.9999990463256836
12032,i feel so amazed by everything that god does,LABEL_5,0.9999990463256836
19348,i feel so amazed to meet this stranger for days in different places,LABEL_5,0.9999990463256836
20704,i also feel amazed with the very few interviewees who stopped by to help,LABEL_5,0.9999990463256836
23185,i was feeling amazed at the peoples run around when stayed at my uncles home for sometime months in in bangaluru,LABEL_5,0.9999990463256836
38697,i feel amazed that eu didnt dissolve before given the fact that this loop had always been there an other sign that actually eu worked as a strong integrating factor,LABEL_5,0.9999990463256836
47625,i has never failed to make me feels amazed with his acting in almost each of his dramas and movies,LABEL_5,0.9999990463256836
77407,i never had the feeling that stewart had an agenda per se but that he was amazed at what happened within the board room at disney,LABEL_5,0.9999990463256836
79083,i missed about a month combined of classes and was pretty much bed ridden for months of the semester i feel really amazed that i was able to pass,LABEL_5,0.9999990463256836
580,i revel in the couple of smiles here and there and feel so amazed by how fast theyre growing,LABEL_5,0.999998927116394
7225,i did everything i could to comfort her and couldn t help but feel amazed at how lost we d become in our stories,LABEL_5,0.999998927116394
7439,i havent been feeling much enthusiasm for my series for some time now and im amazed that sourcebooks even bought it,LABEL_5,0.999998927116394
18664,i continue to feel amazed by the ways that god shows himself in the details,LABEL_5,0.999998927116394
20222,i feel amazed at how much i ve grown this year,LABEL_5,0.999998927116394
21313,i feel a lot of designers try to do but have not impressed at least in the models ive seen,LABEL_5,0.999998927116394
32345,i feel amazed that you dont see that but instead you howl in your press release like rampage jackson over one of his octagon conquests,LABEL_5,0.999998927116394
33826,i remember how my freshman year of high school my music teacher had us play the main theme at our band show and i still feel amazed every time i hear it,LABEL_5,0.999998927116394
35253,i attended job class but should say which i feel completely amazed with all the segway,LABEL_5,0.999998927116394
35418,i am in the middle of silk and feeling amazed by the power of the words written with such economy and richness,LABEL_5,0.999998927116394
36099,i feel amazed that it has worked so dependably for so long and more amazed that my existence could hang so precariously,LABEL_5,0.999998927116394
37304,i cant help but to feel amazed at time at how much the country has changed in the intervening years,LABEL_5,0.999998927116394
37494,i can understand how each characters is feeling and is amazed at how it greatly relate to how i feel for my siblings at times,LABEL_5,0.999998927116394
37804,i feel amazed that im alive given what my mother and grandmother went through in their lives,LABEL_5,0.999998927116394
38051,i am simply feeling so amazed for i know that this would be the only way for me to make the most out of everything,LABEL_5,0.999998927116394
38763,i look at other musicians blogs and feel amazed not only by their faithfulness to them but by their ease and candor,LABEL_5,0.999998927116394
43740,im strong enough sometime in the future i can post it and not feel anything but amazed and grateful for the moment it represents,LABEL_5,0.999998927116394
46256,i remember feeling amazed at how focussed on a book such a young baby could be,LABEL_5,0.999998927116394
50968,i feel amazed at how jack and sadie s story has traveled,LABEL_5,0.999998927116394
52348,i feel amazed at what happened last night with maisi,LABEL_5,0.999998927116394
55274,i personally feel amazed that i have managed to connect with such amazingly talent,LABEL_5,0.999998927116394
60070,i feel so amazed whenever i figure people out is prolly because i can do that,LABEL_5,0.999998927116394
63710,i read fanfics on the internet i feel so amazed and i envy all of those people who write them,LABEL_5,0.999998927116394
65669,i write this post because i m just feeling deeply amazed watching her latest performance in one of tv station last night,LABEL_5,0.999998927116394
65690,i feel amazed thousands of miles above the atlantic and it feels like,LABEL_5,0.999998927116394
66682,i feel completely amazed by the beauty in humanity and at moments feel like i cannot handle it,LABEL_5,0.999998927116394
71709,i feel amazed that for the first time ever i have someone to spend new years eve with,LABEL_5,0.999998927116394
72734,i feel amazed by is the degree of repulsion i feel from my discomfort,LABEL_5,0.999998927116394
79353,i need to or i feel i have to but simply because i am so amazed that i can do them,LABEL_5,0.999998927116394
296,i feel amazed that i could have missed what it means to be a christian by so much,LABEL_5,0.9999988079071045
4610,i guess its a neverending paradoxical complex that i face on a daily basis of how i personally feel amazed at how people can be and or how they will be in order to attain what they want to,LABEL_5,0.9999988079071045
5152,i am so thankful and feeling so amazed at what our bodies are capable of with help and training,LABEL_5,0.9999988079071045
6154,i feel you will be impressed with the entire interview through,LABEL_5,0.9999988079071045
7470,i feel amazed and exhausted and alive and also a little bit in love with caitlin horrocks and her words,LABEL_5,0.9999988079071045
7947,i remember riding in the car from the church to the graveyard feeling amazed when i saw people out working in their yards,LABEL_5,0.9999988079071045
10201,i feel impressed by the professionalism and specifications the maintenance sets itself,LABEL_5,0.9999988079071045
10465,i read my stuff i feel amazed at the amount of honesty displayed in the words,LABEL_5,0.9999988079071045
12722,i stared up at him amazed by the feeling and as equally amazed that nothing else was happening,LABEL_5,0.9999988079071045
12944,i feel rather amazed that every time the voice asks me to do a little bit more or to wait a little bit longer i do and i can,LABEL_5,0.9999988079071045
18061,i look around and feel amazed at what i have just done in this crowded club,LABEL_5,0.9999988079071045
20612,i feel amazed at all of the amazing people that i have in my life whether were close or just met somewhere along the way you have all done something to shape me into the person that i am today,LABEL_5,0.9999988079071045
22487,i feel so amazed and so little by the greatness of what i m seeing that i m filled with a sudden childlike energy and happiness,LABEL_5,0.9999988079071045
